,index,drug label,event intervention,other event intervention,event comparator,other event comparator,ROR,SE_logROR,CI95_low,CI95_high,IC,IC_025
0,total CVAE,CASIRIVIMAB+IMDEVIMAB vs All others,287,2487,3618,28138,0.8974923888354324,0.06479464759833876,0.7904537365334312,1.0190255935155081,-0.08884456306789591,-0.2838782184616607
1,"Arrhythmia related investigations, signs and symptoms",CASIRIVIMAB+IMDEVIMAB vs All others,0,2774,5,31751,0.0,inf,0.0,,-0.5896512574824597,-10.913410262806053
2,Bradyarrhythmias (incl conduction defects and disorders of sinus node function),CASIRIVIMAB+IMDEVIMAB vs All others,15,2759,1229,30527,0.13504291451219191,0.26052935413567596,0.08104099024618908,0.2250291945415208,-1.8686996923914327,-2.7396747569153197
3,"Cardiac arrhythmia terms, nonspecific ",CASIRIVIMAB+IMDEVIMAB vs All others,11,2763,170,31586,0.7397032211364458,0.3117451345083827,0.4015084541587594,1.3627629747075818,-0.2684198121065638,-1.292820881391458
4,Cardiac failure,CASIRIVIMAB+IMDEVIMAB vs All others,15,2759,276,31480,0.6201049529602723,0.26586476155430744,0.36826169385102053,1.0441763536813102,-0.4321073938155397,-1.3030824583394267
5,Cardiomyopathy ,CASIRIVIMAB+IMDEVIMAB vs All others,0,2774,68,31688,0.0,inf,0.0,,-2.478694712905943,-12.802453718229536
6,Congenital and neonatal arrhythmias,CASIRIVIMAB+IMDEVIMAB vs All others,1,2773,9,31747,1.2720679568858437,1.0542785355005808,0.16109805842381006,10.044546177451407,0.1405200248010166,-3.642580800164114
7,"Embolic and thrombotic events, arterial ",CASIRIVIMAB+IMDEVIMAB vs All others,21,2753,280,31476,0.8575009081002543,0.2271243855904178,0.5494173990209237,1.338340956626235,-0.1379855573883447,-0.8697437718247012
8,"Embolic and thrombotic events, venous",CASIRIVIMAB+IMDEVIMAB vs All others,27,2747,545,31211,0.5628806070341958,0.19816148187612476,0.3817137703673447,0.8300318258633347,-0.524236908252735,-1.167390763907489
9,"Embolic and thrombotic events, vessel type unspecified and mixed arterial and venous ",CASIRIVIMAB+IMDEVIMAB vs All others,20,2754,436,31320,0.5216765605324699,0.2295400066831514,0.33266945417913873,0.8180685974926931,-0.5940862531680334,-1.344481940105893
10,Hypertension,CASIRIVIMAB+IMDEVIMAB vs All others,143,2631,423,31333,4.026028090246048,0.0988386161295131,3.316986257114167,4.886635315020044,1.1383429384689807,0.86170079915489
11,Myocardial infarction,CASIRIVIMAB+IMDEVIMAB vs All others,33,2741,202,31554,1.8806499037353572,0.18881220143182703,1.298936036327334,2.7228777718878514,0.5473582278522736,-0.03310977990403736
12,Other ischaemic heart disease,CASIRIVIMAB+IMDEVIMAB vs All others,5,2769,56,31700,1.0221585925811278,0.46717216291714064,0.4091224492103587,2.5537786802068707,0.018257971432565377,-1.5439218229549074
13,Pulmonary hypertension,CASIRIVIMAB+IMDEVIMAB vs All others,2,2772,37,31719,0.6185211185211185,0.7262363969348313,0.14899429222492205,2.5676713405845746,-0.37379600080791275,-2.966863682145984
14,Tachyarrhythmias (incl supraventricular and ventricular tachyarrhythmias) ,CASIRIVIMAB+IMDEVIMAB vs All others,57,2717,774,30982,0.8397571420827235,0.13869455331311584,0.6398740812652335,1.1020794220709105,-0.15676835793622215,-0.5965464649749774
15,Torsade de pointes/QT prolongation,CASIRIVIMAB+IMDEVIMAB vs All others,7,2767,1107,30649,0.07004184365419126,0.3796768559663842,0.03327898751464803,0.14741613939783527,-2.4848426132427406,-3.7872051388661356
16,total CVAE,BAMLANIVIMAB vs All others,373,2372,3532,28253,1.257876552416929,0.058489917822247654,1.1216320189955913,1.4106706962031892,0.18334301697024596,0.012312828391798272
17,"Arrhythmia related investigations, signs and symptoms",BAMLANIVIMAB vs All others,0,2745,5,31780,0.0,inf,0.0,,-0.5849832409577013,-10.908742246281296
18,Bradyarrhythmias (incl conduction defects and disorders of sinus node function),BAMLANIVIMAB vs All others,27,2718,1217,30568,0.24951160981024886,0.19560000321999155,0.17005627983291835,0.3660908229397288,-1.2848970563355782,-1.9280509119903322
19,"Cardiac arrhythmia terms, nonspecific ",BAMLANIVIMAB vs All others,8,2737,173,31612,0.5340981328444924,0.36218412984890075,0.26261752521568227,1.0862215508035662,-0.5605425754426957,-1.7731384539209054
20,Cardiac failure,BAMLANIVIMAB vs All others,33,2712,258,31527,1.4869186046511627,0.18595550463179494,1.032758253404588,2.1407981292516665,0.3488860685602047,-0.23158193919610626
21,Cardiomyopathy ,BAMLANIVIMAB vs All others,9,2736,59,31726,1.7688447814451382,0.3584093757403081,0.8762045517024122,3.570869216288146,0.47536803082175205,-0.6635971049068649
22,Congenital and neonatal arrhythmias,BAMLANIVIMAB vs All others,0,2745,10,31775,0.0,inf,0.0,,-0.9516276849561889,-11.275386690279783
23,"Embolic and thrombotic events, arterial ",BAMLANIVIMAB vs All others,41,2704,260,31525,1.8384800295857986,0.16922748325925993,1.3195005478692527,2.5615819748190956,0.5299501813582526,0.010209865469602297
24,"Embolic and thrombotic events, venous",BAMLANIVIMAB vs All others,39,2706,533,31252,0.8450597588015791,0.16708903420354546,0.6090575962084541,1.1725097928199366,-0.1517267031475495,-0.6848507869989818
25,"Embolic and thrombotic events, vessel type unspecified and mixed arterial and venous ",BAMLANIVIMAB vs All others,31,2714,425,31360,0.8428280376262517,0.1871132098104763,0.5840701277506861,1.216222277527844,-0.15415659008006927,-0.7534439674477171
26,Hypertension,BAMLANIVIMAB vs All others,124,2621,442,31343,3.35484884529928,0.10363589332009475,2.7381441268371134,4.110452282074284,1.0067079648274406,0.709515179821219
27,Myocardial infarction,BAMLANIVIMAB vs All others,59,2686,176,31609,3.9449735158735533,0.15177255385101973,2.92989924594215,5.311723965422334,1.1320258046951697,0.6998536750596343
28,Other ischaemic heart disease,BAMLANIVIMAB vs All others,14,2731,47,31738,3.461688883348785,0.3051275821426863,1.903523277499811,6.295320927643212,0.9971901332372012,0.0943452121258676
29,Pulmonary hypertension,BAMLANIVIMAB vs All others,4,2741,35,31750,1.3238129983843228,0.5281739817411553,0.4701493839604682,3.7274979282726144,0.2230470215588377,-1.5421010174031362
30,Tachyarrhythmias (incl supraventricular and ventricular tachyarrhythmias) ,BAMLANIVIMAB vs All others,98,2647,733,31052,1.5684032632891312,0.10944554961589548,1.2655980722445885,1.9436571927873476,0.3919339554773741,0.05738490028088022
31,Torsade de pointes/QT prolongation,BAMLANIVIMAB vs All others,11,2734,1103,30682,0.11191861525493087,0.30366769019757267,0.061718472903498744,0.20295020034222483,-2.046948046093036,-3.07134911537793
32,total CVAE,BAMLANIVIMAB+ETESEVIMAB vs All others,121,1133,3784,29492,0.8323549333935425,0.09718669382411474,0.6879891260120382,1.007014077621404,-0.1581282510487299,-0.45900369438190525
33,"Arrhythmia related investigations, signs and symptoms",BAMLANIVIMAB+ETESEVIMAB vs All others,0,1254,5,33271,0.0,inf,0.0,,-0.3098073440111499,-10.633566349334743
34,Bradyarrhythmias (incl conduction defects and disorders of sinus node function),BAMLANIVIMAB+ETESEVIMAB vs All others,6,1248,1238,32038,0.12441748477693551,0.4102522590982751,0.05567595106638139,0.2780322602798974,-1.9498017087970523,-3.3648550531017953
35,"Cardiac arrhythmia terms, nonspecific ",BAMLANIVIMAB+ETESEVIMAB vs All others,4,1250,177,33099,0.5984,0.5064384759348839,0.2217698237035556,1.6146586312782416,-0.45224134590662307,-2.217389384868597
36,Cardiac failure,BAMLANIVIMAB+ETESEVIMAB vs All others,8,1246,283,32993,0.7485267343130527,0.3596754739796342,0.3698668187093981,1.5148487067221383,-0.26399441034352095,-1.4765902888217306
37,Cardiomyopathy ,BAMLANIVIMAB+ETESEVIMAB vs All others,0,1254,68,33208,0.0,inf,0.0,,-1.7815423782102424,-12.105301383533837
38,Congenital and neonatal arrhythmias,BAMLANIVIMAB+ETESEVIMAB vs All others,0,1254,10,33266,0.0,inf,0.0,,-0.5459948338299342,-10.869753839153528
39,"Embolic and thrombotic events, arterial ",BAMLANIVIMAB+ETESEVIMAB vs All others,8,1246,293,32983,0.722760615539693,0.359507797065065,0.3572524898401657,1.4622232797006656,-0.2962794444382388,-1.5088753229164484
40,"Embolic and thrombotic events, venous",BAMLANIVIMAB+ETESEVIMAB vs All others,22,1232,550,32726,1.0625324675324674,0.2193512533091365,0.6912364852869076,1.633269175732292,0.05608166967103677,-0.6583588387373749
41,"Embolic and thrombotic events, vessel type unspecified and mixed arterial and venous ",BAMLANIVIMAB+ETESEVIMAB vs All others,6,1248,450,32826,0.3507051282051282,0.411971642952556,0.15641009305383835,0.7863564591515158,-0.9649465874984655,-2.3799999318032086
42,Hypertension,BAMLANIVIMAB+ETESEVIMAB vs All others,54,1200,512,32764,2.8796484374999998,0.14606675924289533,2.16274309692339,3.8341933146810216,0.9510628463744286,0.4990835393289874
43,Myocardial infarction,BAMLANIVIMAB+ETESEVIMAB vs All others,6,1248,229,33047,0.6937982868659724,0.41456606334557333,0.30785588916945716,1.5635759450851336,-0.32922825833450153,-1.744281602639245
44,Other ischaemic heart disease,BAMLANIVIMAB+ETESEVIMAB vs All others,6,1248,55,33221,2.9039335664335666,0.43090586946759724,1.247935662297256,6.757423810403848,0.8729030280606773,-0.542150316244066
45,Pulmonary hypertension,BAMLANIVIMAB+ETESEVIMAB vs All others,0,1254,39,33237,0.0,inf,0.0,,-1.3435609696566049,-11.667319974980199
46,Tachyarrhythmias (incl supraventricular and ventricular tachyarrhythmias) ,BAMLANIVIMAB+ETESEVIMAB vs All others,20,1234,811,32465,0.6487978304792091,0.2281977668531187,0.4148236689602121,1.0147410968367454,-0.40314701014425525,-1.1535426970821148
47,Torsade de pointes/QT prolongation,BAMLANIVIMAB+ETESEVIMAB vs All others,2,1252,1112,32164,0.04620520835727584,0.7083283795533211,0.011527885229161554,0.18519626426698474,-2.7962148851686446,-5.389282566506715
