,index,drug label,event intervention,other event intervention,event comparator,other event comparator,ROR,SE_logROR,CI95_low,CI95_high,IC,IC_025,IC_975
0,total CVAE,CASIRIVIMAB+IMDEVIMAB vs All others,287,2487,3618,28138,0.8974923888354324,0.06479464759833876,0.7904537365334312,1.0190255935155081,-0.1281756105480002,-0.32320926594176497,0.013266099043375907
1,Cardiac arrhythmias ,CASIRIVIMAB+IMDEVIMAB vs All others,76,2698,1962,29794,0.42776126688776905,0.11862456516136155,0.339020678687661,0.5397302080738502,-1.1021389960720147,-1.4824249654795212,-0.8284885303674974
2,Cardiac failure,CASIRIVIMAB+IMDEVIMAB vs All others,15,2759,276,31480,0.6201049529602723,0.26586476155430744,0.36826169385102053,1.0441763536813102,-0.6233991941891335,-1.4943742587130204,-0.021992141168876482
3,Cardiomyopathy ,CASIRIVIMAB+IMDEVIMAB vs All others,0,2774,68,31688,0.0,inf,0.0,,-3.576000570187097,-13.89975957551069,-1.5961015828647642
4,Embolic and thrombotic events ,CASIRIVIMAB+IMDEVIMAB vs All others,56,2718,1152,30604,0.5473489493908921,0.13829602838266264,0.4173922038042276,0.7177682517036963,-0.7878291142566507,-1.231563894193118,-0.4697151913624257
5,Hypertension,CASIRIVIMAB+IMDEVIMAB vs All others,143,2631,423,31333,4.026028090246048,0.0988386161295131,3.316986257114167,4.886635315020044,1.6422817121601687,1.365639572846078,1.8423389757709685
6,Ischaemic heart disease ,CASIRIVIMAB+IMDEVIMAB vs All others,37,2737,240,31516,1.775197905249056,0.1777379732791408,1.2530060257993545,2.5150139248454524,0.7208303100461599,0.1732332697706317,1.1105713446756613
7,Pulmonary hypertension,CASIRIVIMAB+IMDEVIMAB vs All others,2,2772,37,31719,0.6185211185211185,0.7262363969348313,0.14899429222492205,2.5676713405845746,-0.5392736366697026,-3.1323413180077733,0.8521285338043842
8,Torsade de pointes/QT prolongation,CASIRIVIMAB+IMDEVIMAB vs All others,7,2767,1107,30649,0.07004184365419126,0.3796768559663842,0.03327898751464803,0.14741613939783527,-3.584870115514874,-4.887232641138269,-2.7328572482846156
9,total CVAE,BAMLANIVIMAB vs All others,373,2372,3532,28253,1.257876552416929,0.058489917822247654,1.1216320189955913,1.4106706962031892,0.2645080613645949,0.09347787278614723,0.3886228772468445
10,Cardiac arrhythmias ,BAMLANIVIMAB vs All others,121,2624,1917,29868,0.7184649223252795,0.09592022429107777,0.5953284345019404,0.8670707036591033,-0.41959910066986883,-0.7204745440030441,-0.20224002000406083
11,Cardiac failure,BAMLANIVIMAB vs All others,33,2712,258,31527,1.4869186046511627,0.18595550463179494,1.032758253404588,2.1407981292516665,0.5033362009470542,-0.07713180680925674,0.9154143335079539
12,Cardiomyopathy ,BAMLANIVIMAB vs All others,9,2736,59,31726,1.7688447814451382,0.3584093757403081,0.8762045517024122,3.570869216288146,0.6858111006636936,-0.4531540350649233,1.4473979830249577
13,Embolic and thrombotic events ,BAMLANIVIMAB vs All others,109,2636,1099,30686,1.154579069674321,0.10245087044841229,0.9445299615924907,1.4113399069760317,0.18186249820231107,-0.13524315593631883,0.4107790059236889
14,Hypertension,BAMLANIVIMAB vs All others,124,2621,442,31343,3.35484884529928,0.10363589332009475,2.7381441268371134,4.110452282074284,1.4523725884799694,1.155179803473748,1.6671058033700163
15,Ischaemic heart disease ,BAMLANIVIMAB vs All others,66,2679,211,31574,3.686535083296625,0.14246331767341755,2.7883747869199613,4.874000792192273,1.562120797404186,1.1537607771667553,1.8555056663126313
