,index,drug label,event intervention,other event intervention,event comparator,other event comparator,ROR,SE_logROR,CI95_low,CI95_high,IC,IC_025
0,CA,CASIRIVIMAB+IMDEVIMAB vs All others,2,2772,19,31737,1.2051720209614947,0.7436557256368158,0.2805669477730467,5.1768022271935825,0.1337349630519043,-2.459332718286167
1,DE,CASIRIVIMAB+IMDEVIMAB vs All others,109,2665,5106,26650,0.2134743439091265,0.09890863421498686,0.17585428629443992,0.25914236421357484,-1.3430243714224412,-1.6601300255610711
2,DS,CASIRIVIMAB+IMDEVIMAB vs All others,10,2764,190,31566,0.6010739584126742,0.3250486610505968,0.31786367955567413,1.1366190185267797,-0.4560488527219332,-1.5332331910287271
3,HO,CASIRIVIMAB+IMDEVIMAB vs All others,1077,1697,9125,22631,1.5740000161445258,0.04088467336630787,1.452790515555983,1.7053222913386359,0.272988075847637,0.17239930319579336
4,LT,CASIRIVIMAB+IMDEVIMAB vs All others,111,2663,2146,29610,0.575122690250819,0.09941972109582385,0.4732958833139095,0.6988569317894566,-0.4889827840856289,-0.8032005457423993
5,OT,CASIRIVIMAB+IMDEVIMAB vs All others,920,1854,15006,16750,0.5538956657538351,0.0418649298425417,0.5102603458653205,0.6012624947772482,-0.3296438052666988,-0.4384836442108893
6,RI,CASIRIVIMAB+IMDEVIMAB vs All others,227,2547,437,31319,6.387388941447694,0.08436921316395542,5.413857719392596,7.53598258468929,1.4410766452697097,1.2217059242388484
7,CA,BAMLANIVIMAB vs All others,0,2745,21,31764,0.0,inf,0.0,,-1.467606062117836,-11.79136506744143
8,DE,BAMLANIVIMAB vs All others,177,2568,5038,26747,0.3659275951367736,0.07921492567203486,0.31330408359774803,0.42738991252505,-0.8494816581665033,-1.0980209758384645
9,DS,BAMLANIVIMAB vs All others,9,2736,191,31594,0.544123725544227,0.3416780090389037,0.27851941228658045,1.0630161333081147,-0.5459418565042172,-1.684906992232834
10,HO,BAMLANIVIMAB vs All others,1518,1227,8684,23101,3.291077990717831,0.040400494173481495,3.040525004276706,3.56227767433338,0.6265703441251467,0.5418515350900783
