,index,drug label,event intervention,other event intervention,event comparator,other event comparator,ROR,SE_logROR,CI95_low,CI95_high,IC,IC_025,IC_975
0,CA,CASIRIVIMAB+IMDEVIMAB vs All others,1,2773,7,31749,1.635618978929473,1.0692283480057134,0.20115767031474036,13.299266391624423,0.39253156586708343,-3.390569259098047,2.0799578331177173
1,DE,CASIRIVIMAB+IMDEVIMAB vs All others,109,2665,5106,26650,0.2134743439091265,0.09890863421498686,0.17585428629443992,0.25914236421357484,-1.9375746004441734,-2.2546802545828033,-1.7086580927227957
2,DS,CASIRIVIMAB+IMDEVIMAB vs All others,6,2768,55,31701,1.2493825538623224,0.4303966789730236,0.5374454468197974,2.9044003910203733,0.2673487843462493,-1.147704559958494,1.1785345199113506
3,HO,CASIRIVIMAB+IMDEVIMAB vs All others,1005,1769,6958,24798,2.024745582434281,0.04176555150952166,1.8656015973807456,2.197465246247032,0.6512844983961207,0.5471524065872956,0.7269556270822198
4,LT,CASIRIVIMAB+IMDEVIMAB vs All others,103,2671,1643,30113,0.7067727511266498,0.10356148151390059,0.576934466316195,0.8658309581063611,-0.44367379145404984,-0.7699455082786225,-0.20824151492716417
5,OT,CASIRIVIMAB+IMDEVIMAB vs All others,791,1983,10106,21650,0.8545399601341265,0.04374527897323911,0.7843242499917735,0.931041649513825,-0.14621097204166764,-0.26359821356612323,-0.060926207459677285
6,RI,CASIRIVIMAB+IMDEVIMAB vs All others,198,2576,337,31419,7.166082256667343,0.09185799221388918,5.985365657622598,8.579715567406112,2.1907241945914535,1.9557838220972708,2.3608910361864335
7,CA,BAMLANIVIMAB vs All others,0,2745,8,31777,0.0,inf,0.0,,-1.1839231130020733,-11.507682118325668,0.7959758743202598
8,DE,BAMLANIVIMAB vs All others,177,2568,5038,26747,0.3659275951367736,0.07921492567203486,0.31330408359774803,0.42738991252505,-1.225542975562948,-1.4740822932349091,-1.0456136184052796
9,DS,BAMLANIVIMAB vs All others,1,2744,60,31725,0.19269314868804666,1.0084952250933723,0.026694255149462005,1.3909603149972882,-1.8343772343617009,-5.617478059326832,-0.14695096711106714
10,HO,BAMLANIVIMAB vs All others,1405,1340,6558,25227,4.033348240499242,0.0406218907858252,3.7246688702182533,4.367609201240239,1.1496046054619247,1.0615431731175111,1.2136121898865668
11,LT,BAMLANIVIMAB vs All others,87,2658,1659,30126,0.5943733952706151,0.11183220587541538,0.4773818095042727,0.7400360172340351,-0.670842135489183,-1.0260705061682112,-0.4148822260919126
12,OT,BAMLANIVIMAB vs All others,521,2224,10376,21409,0.4833584992068026,0.050120970312424615,0.4381325590858968,0.5332528567219491,-0.7329801315249836,-0.8776543700757292,-0.6279266245451885
13,RI,BAMLANIVIMAB vs All others,5,2740,530,31255,0.10761258779782398,0.44975965897054276,0.04456766946501975,0.25984013055997124,-2.967853007173635,-4.530032801561108,-1.9832533352768158
14,CA,BAMLANIVIMAB+ETESEVIMAB vs All others,1,1253,7,33269,3.793068065214913,1.0694322257469489,0.4663065842979619,30.853875608498637,0.9240704303954219,-2.8590303945697086,2.6114966976460554
15,DE,BAMLANIVIMAB+ETESEVIMAB vs All others,54,1200,5161,28115,0.24514144545630692,0.13993277297663265,0.18633891462696342,0.3225001519447071,-1.8008299224506465,-2.252809229496088,-1.4769756265583123
16,DS,BAMLANIVIMAB+ETESEVIMAB vs All others,0,1254,61,33215,0.0,inf,0.0,,-2.4411068483809935,-12.764865853704588,-0.4612078610586605
17,HO,BAMLANIVIMAB+ETESEVIMAB vs All others,360,894,7603,25673,1.3597423129513517,0.06377165880557138,1.1999774377775718,1.5407782675102297,0.31550793738300453,0.1414111273064809,0.4418382455046594
18,LT,BAMLANIVIMAB+ETESEVIMAB vs All others,60,1194,1686,31590,0.9415404424256515,0.1346438375942357,0.7231490680638732,1.2258861192984212,-0.07906516226781504,-0.5075793093039301,0.22842800448708636
19,OT,BAMLANIVIMAB+ETESEVIMAB vs All others,302,952,10595,22681,0.6790960933689191,0.06708317491325194,0.595427489080823,0.7745216881754153,-0.3894326142117608,-0.5795494123835667,-0.25153735095393004
20,RI,BAMLANIVIMAB+ETESEVIMAB vs All others,119,1135,416,32860,8.281811250423585,0.10825293023028248,6.698515611138808,10.239342799110387,2.584055493192163,2.280647509330464,2.8032196303931327
21,CA,SOTROVIMAB vs All others,0,1450,8,33072,0.0,inf,0.0,,-0.7414708911543982,-11.065229896477991,1.2384280961679346
22,DE,SOTROVIMAB vs All others,74,1376,5141,27939,0.2922648181740047,0.12029366004545637,0.23087691410454586,0.36997516305854916,-1.5588476971120462,-1.944285683772963,-1.281568725872823
23,DS,SOTROVIMAB vs All others,1,1449,60,33020,0.37980216241085807,1.0086560773958257,0.05259834104709332,2.7424758975347054,-1.0292953565654233,-4.812396181530554,0.6581309106852105
24,HO,SOTROVIMAB vs All others,184,1266,7779,25301,0.4727135295800843,0.07995465828407221,0.404146901349285,0.5529130133177416,-0.8600494259238586,-1.1037968430975533,-0.6835584991563622
25,LT,SOTROVIMAB vs All others,32,1418,1714,31366,0.41297338931194694,0.18047307512432156,0.28993475966020366,0.58822550452272,-1.183549606314026,-1.77320245929429,-0.7652603971060583
26,OT,SOTROVIMAB vs All others,151,1299,10746,22334,0.24159473844001178,0.08677656458894839,0.2038082541609912,0.2863869173610208,-1.5963194140020365,-1.865498620969306,-1.4016008761998338
27,RI,SOTROVIMAB vs All others,25,1425,510,32570,1.1203990368077055,0.20662342994129104,0.7472936854002074,1.6797867106388986,0.15099942629076157,-0.5180296782381834,0.6223873153784802
28,CA,TOCILIZUMAB vs All others,0,2784,8,31738,0.0,inf,0.0,,-1.1953530717943248,-11.519112077117919,0.7845459155280083
29,DE,TOCILIZUMAB vs All others,807,1977,4408,27338,2.531582114461498,0.044815328203551774,2.318699355172913,2.7640099126966873,0.9397715432447609,0.8235548518421176,1.0242075944653932
30,DS,TOCILIZUMAB vs All others,3,2781,58,31688,0.5893687460476881,0.5924237108818193,0.1845465193030486,1.8822111635030234,-0.6304475756673275,-2.6998131916178134,0.5760460306801883
31,HO,TOCILIZUMAB vs All others,531,2253,7432,24314,0.7710526617541879,0.05002772894407012,0.6990360577613303,0.8504886129939866,-0.27367436274658613,-0.4169780094140866,-0.1696130398924446
32,LT,TOCILIZUMAB vs All others,109,2675,1637,30109,0.7494632876415144,0.1009565743879417,0.6149140168771337,0.9134532700604545,-0.3675467060637624,-0.6846523602023922,-0.13863019834238458
33,OT,TOCILIZUMAB vs All others,794,1990,10103,21643,0.8547409919039919,0.04367085095309211,0.7846232150521646,0.9311248370244158,-0.1459415682684058,-0.26310663693678016,-0.060817887264338455
34,RI,TOCILIZUMAB vs All others,2,2782,533,31213,0.042099910574950467,0.7087084479327689,0.010495819747711724,0.16886746466899274,-4.125474737885095,-6.718542419223166,-2.734072567411008
35,CA,BEBTELOVIMAB vs All others,0,243,8,34279,0.0,inf,0.0,,-0.15393208160585128,-10.477691086929445,1.8259669057164818
36,DE,BEBTELOVIMAB vs All others,5,238,5210,29077,0.11724785883643286,0.4521371591622749,0.048332359906233587,0.2844276676826426,-2.7577923587101605,-4.319972153097633,-1.7731926868133414
37,DS,BEBTELOVIMAB vs All others,0,243,61,34226,0.0,inf,0.0,,-0.8941835370737601,-11.217942542397353,1.0857154502485729
38,HO,BEBTELOVIMAB vs All others,39,204,7924,26363,0.6360405469608337,0.17523446369042447,0.4511513025248551,0.8967004530723901,-0.5173806555427799,-1.0505047393942122,-0.1375272282122921
39,LT,BEBTELOVIMAB vs All others,14,229,1732,32555,1.1491120142803837,0.27641177273937334,0.6684607538383329,1.9753716486441226,0.18134929176511974,-0.7214956293462138,0.8025645534324968
40,OT,BEBTELOVIMAB vs All others,98,145,10799,23488,1.4700109524828289,0.13128522177094343,1.1364971047130787,1.901397013206668,0.3517826781849151,0.01723362298842123,0.5930917199854132
41,RI,BEBTELOVIMAB vs All others,37,206,498,33789,12.186542285647445,0.18417117993335833,8.49397202917949,17.484377434925385,3.1362773572620632,2.588680316986535,3.5260183918915646
42,CA,TIXAGEVIMAB+CILGAVIMAB vs All others,0,74,8,34448,0.0,inf,0.0,,-0.04863939191932744,-10.372398397242922,1.9312595954030056
43,DE,TIXAGEVIMAB+CILGAVIMAB vs All others,6,68,5209,29247,0.49541517509288224,0.42614400850858614,0.21489593590571457,1.1421165071264823,-0.8450442258019552,-2.2600975701066983,0.0661415097631461
44,DS,TIXAGEVIMAB+CILGAVIMAB vs All others,0,74,61,34395,0.0,inf,0.0,,-0.33508737890109486,-10.658846384224688,1.6448116084212383
45,HO,TIXAGEVIMAB+CILGAVIMAB vs All others,28,46,7935,26521,2.034431933371689,0.24003571830557355,1.270927086879096,3.2566095523906364,0.698240384051854,0.06694868438573671,1.1445153076055172
46,LT,TIXAGEVIMAB+CILGAVIMAB vs All others,11,63,1735,32721,3.292905173596816,0.32770266564577594,1.7323398029154278,6.259294200856066,1.4388888431965527,0.41448777391165875,2.1337891930744157
47,OT,TIXAGEVIMAB+CILGAVIMAB vs All others,16,58,10881,23575,0.5976884731056032,0.2826228944079674,0.3434799695615749,1.0400359337963296,-0.5317027921763701,-1.3739469940895015,0.051676274162043255
48,RI,TIXAGEVIMAB+CILGAVIMAB vs All others,1,73,534,33922,0.8701965009491559,1.007770196377587,0.12072188927622497,6.272615138846124,-0.13447439473290873,-3.917575219698039,1.552951872517725
